Model,Model_Source,Year,Forecast_CO2_ppm
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2152,992.0668535222798
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2153,998.3584971004626
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2154,1004.6788743515946
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2155,1011.0279852756756
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2156,1017.4058298727058
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2157,1023.8124081426844
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2158,1030.2477200856113
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2159,1036.7117657014871
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2160,1043.204544990312
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2161,1049.7260579520857
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2162,1056.2763045868087
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2163,1062.8552848944807
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2164,1069.4629988751017
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2165,1076.0994465286715
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2166,1082.7646278551904
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2167,1089.4585428546582
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2168,1096.1811915270755
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2169,1102.9325738724417
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2170,1109.7126898907566
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2171,1116.5215395820205
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2172,1123.3591229462338
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2173,1130.2254399833964
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2174,1137.1204906935077
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2175,1144.044275076568
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2176,1150.9967931325773
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2177,1157.9780448615359
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2178,1164.9880302634433
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2179,1172.0267493382996
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2180,1179.0942020861053
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2181,1186.1903885068598
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2182,1193.3153086005636
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2183,1200.4689623672164
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2184,1207.6513498068182
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2185,1214.862470919369
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2186,1222.102325704869
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2187,1229.3709141633176
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2188,1236.6682362947156
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2189,1243.9942920990622
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2190,1251.3490815763582
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2191,1258.7326047266033
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2192,1266.1448615497973
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2193,1273.58585204594
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2194,1281.0555762150318
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2195,1288.5540340570728
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2196,1296.0812255720632
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2197,1303.6371507600022
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2198,1311.22180962089
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2199,1318.8352021547273
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2200,1326.4773283615134
