Sigma,Simulation,Model,Model_Key,Model_Family,RMSE,MAE,MAPE,R2,Perturbation_Std_ppm,Test_Comparison_Target,Status,Rank_By_RMSE,Is_Best_By_RMSE
0.5,77,Cubic,cubic,annual_fit,2.8187191625436294,2.4833112019845087,0.6071487618033347,0.8470461191301261,0.5,original_true_test_data,,4.0,False
0.5,77,Quartic,quartic,annual_fit,1.6286345476932627,1.369522529649305,0.334711991141689,0.9489372534274949,0.5,original_true_test_data,,2.0,False
0.5,77,Exponential,exponential,annual_fit,8.578079191365747,8.236419911765903,2.022398741408983,-0.4165665660294742,0.5,original_true_test_data,,5.0,False
0.5,77,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,2.1888217316926313,1.9773563920463686,0.48406302782048005,0.9077688404524391,0.5,original_true_test_data,ok,3.0,False
0.5,86,Quadratic,quadratic,annual_fit,1.4178362225894439,1.1778360048248544,0.28743296708963917,0.961300173351169,0.5,original_true_test_data,,2.0,False
0.5,86,Cubic,cubic,annual_fit,2.283794473709847,1.9684315183962098,0.4808572216015031,0.8995913980325078,0.5,original_true_test_data,,3.0,False
0.5,86,Quartic,quartic,annual_fit,3.642184613351548,3.1984872979912327,0.7822437544026737,0.7446235794331943,0.5,original_true_test_data,,4.0,False
0.5,86,Exponential,exponential,annual_fit,8.358070517422489,8.009236705303312,1.9663585829081947,-0.34483482494279927,0.5,original_true_test_data,,5.0,False
0.5,86,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.3141275697886559,1.0784127066337192,0.26307025860686756,0.966754571251685,0.5,original_true_test_data,ok,1.0,True
0.5,80,Quadratic,quadratic,annual_fit,1.89595843081972,1.6830617450392822,0.41172850104401254,0.9307986595303062,0.5,original_true_test_data,,2.0,False
0.5,80,Cubic,cubic,annual_fit,2.44644548538743,2.2014189730814793,0.5387749253807128,0.8847799736318309,0.5,original_true_test_data,,3.0,False
0.5,80,Quartic,quartic,annual_fit,4.024911594078912,3.4400124418558162,0.8403250333157539,0.6881328897477867,0.5,original_true_test_data,,4.0,False
0.5,80,Exponential,exponential,annual_fit,8.917971011604433,8.582054524225658,2.107584967710748,-0.531048673087229,0.5,original_true_test_data,,5.0,False
0.5,80,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.1992068425722053,1.0188243659835337,0.2489225631263488,0.9723149647639874,0.5,original_true_test_data,ok,1.0,True
0.5,83,Quadratic,quadratic,annual_fit,1.1355560478201017,0.9189126436871333,0.22415876027044002,0.9751758701631595,0.5,original_true_test_data,,2.0,False
0.5,83,Cubic,cubic,annual_fit,2.174313078626087,1.8602639795392293,0.45430552038826494,0.9089875006095985,0.5,original_true_test_data,,4.0,False
0.5,83,Quartic,quartic,annual_fit,1.9586584345124394,1.7192996254881678,0.42075182884648304,0.9261459529118433,0.5,original_true_test_data,,3.0,False
0.5,83,Exponential,exponential,annual_fit,8.513902186532276,8.171579190437194,2.0064253592028147,-0.39544973522030835,0.5,original_true_test_data,,5.0,False
0.5,83,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.000255437080411,0.8140422429724878,0.19867508926587882,0.9807390046540655,0.5,original_true_test_data,ok,1.0,True
0.5,76,Quadratic,quadratic,annual_fit,1.1887142746061208,0.9683437235016754,0.23623840189854356,0.9727973107314132,0.5,original_true_test_data,,1.0,True
0.5,76,Cubic,cubic,annual_fit,1.9573493660704617,1.6542695837657106,0.40382320784352976,0.9262446405570555,0.5,original_true_test_data,,3.0,False
0.5,76,Quartic,quartic,annual_fit,3.7983801889350044,3.3596417837603267,0.8218736855999161,0.7222502037024077,0.5,original_true_test_data,,4.0,False
0.5,76,Exponential,exponential,annual_fit,8.512454109888335,8.168080207599923,2.0055317634859393,-0.39497508886440547,0.5,original_true_test_data,,5.0,False
0.5,76,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.283594799121334,1.0640812242529818,0.25969575439775083,0.9682814896729595,0.5,original_true_test_data,ok,2.0,False
0.5,84,Quadratic,quadratic,annual_fit,1.3835503682987158,1.1580131972302694,0.28267842195893633,0.9631492073870488,0.5,original_true_test_data,,1.0,True
