Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Shifted exponential time trend,shifted_exp_time,training_data,2024,1.250845438526243,2021,0.84,0.4108454385262431
Shifted exponential time trend,shifted_exp_time,training_data,2025,1.2968519194444983,2021,0.84,0.4568519194444983
Shifted exponential time trend,shifted_exp_time,training_data,2026,1.344223201930918,2021,0.84,0.504223201930918
Shifted exponential time trend,shifted_exp_time,training_data,2027,1.3929997733969122,2021,0.84,0.5529997733969122
Shifted exponential time trend,shifted_exp_time,training_data,2028,1.4432233223299462,2021,0.84,0.6032233223299462
Shifted exponential time trend,shifted_exp_time,training_data,2029,1.4949367739239634,2021,0.84,0.6549367739239634
Shifted exponential time trend,shifted_exp_time,training_data,2030,1.5481843267668052,2021,0.84,0.7081843267668052
Shifted exponential time trend,shifted_exp_time,training_data,2031,1.603011490615975,2021,0.84,0.763011490615975
Shifted exponential time trend,shifted_exp_time,training_data,2032,1.6594651252950325,2021,0.84,0.8194651252950326
Shifted exponential time trend,shifted_exp_time,training_data,2033,1.7175934807438764,2021,0.84,0.8775934807438764
Shifted exponential time trend,shifted_exp_time,training_data,2034,1.7774462382571252,2021,0.84,0.9374462382571253
Shifted exponential time trend,shifted_exp_time,training_data,2035,1.8390745529458552,2021,0.84,0.9990745529458552
Shifted exponential time trend,shifted_exp_time,training_data,2036,1.9025310974589862,2021,0.84,1.062531097458986
Shifted exponential time trend,shifted_exp_time,training_data,2037,1.9678701070016815,2021,0.84,1.1278701070016814
Shifted exponential time trend,shifted_exp_time,training_data,2038,2.0351474256892246,2021,0.84,1.1951474256892247
Shifted exponential time trend,shifted_exp_time,training_data,2039,2.104420554276026,2021,0.84,1.2644205542760263
Shifted exponential time trend,shifted_exp_time,training_data,2040,2.1757486993005113,2021,0.84,1.3357486993005114
Shifted exponential time trend,shifted_exp_time,training_data,2041,2.249192823687917,2021,0.84,1.409192823687917
Shifted exponential time trend,shifted_exp_time,training_data,2042,2.3248156988542537,2021,0.84,1.4848156988542538
Shifted exponential time trend,shifted_exp_time,training_data,2043,2.4026819583559282,2021,0.84,1.5626819583559284
Shifted exponential time trend,shifted_exp_time,training_data,2044,2.4828581531309366,2021,0.84,1.6428581531309367
Shifted exponential time trend,shifted_exp_time,training_data,2045,2.5654128083787837,2021,0.84,1.7254128083787839
Shifted exponential time trend,shifted_exp_time,training_data,2046,2.6504164821277776,2021,0.84,1.8104164821277777
Shifted exponential time trend,shifted_exp_time,training_data,2047,2.7379418255397603,2021,0.84,1.8979418255397604
Shifted exponential time trend,shifted_exp_time,training_data,2048,2.828063645003782,2021,0.84,1.9880636450037823
Shifted exponential time trend,shifted_exp_time,training_data,2049,2.920858966071825,2021,0.84,2.0808589660718253
Shifted exponential time trend,shifted_exp_time,training_data,2050,3.0164070992912047,2021,0.84,2.176407099291205
Shifted exponential time trend,shifted_exp_time,training_data,2051,3.1147897079899156,2021,0.84,2.2747897079899158
Shifted exponential time trend,shifted_exp_time,training_data,2052,3.2160908780728503,2021,0.84,2.3760908780728505
Shifted exponential time trend,shifted_exp_time,training_data,2053,3.3203971898885714,2021,0.84,2.4803971898885715
Shifted exponential time trend,shifted_exp_time,training_data,2054,3.4277977922280263,2021,0.84,2.5877977922280264
Shifted exponential time trend,shifted_exp_time,training_data,2055,3.5383844785184593,2021,0.84,2.6983844785184594
Shifted exponential time trend,shifted_exp_time,training_data,2056,3.652251765277671,2021,0.84,2.8122517652776713
Shifted exponential time trend,shifted_exp_time,training_data,2057,3.7694969728956407,2021,0.84,2.929496972895641
Shifted exponential time trend,shifted_exp_time,training_data,2058,3.8902203088125544,2021,0.84,3.0502203088125546
Shifted exponential time trend,shifted_exp_time,training_data,2059,4.014524953164391,2021,0.84,3.174524953164391
Shifted exponential time trend,shifted_exp_time,training_data,2060,4.1425171469691575,2021,0.84,3.3025171469691577
Shifted exponential time trend,shifted_exp_time,training_data,2061,4.27430628292927,2021,0.84,3.4343062829292705
Shifted exponential time trend,shifted_exp_time,training_data,2062,4.410004998927577,2021,0.84,3.570004998927577
Shifted exponential time trend,shifted_exp_time,training_data,2063,4.549729274296994,2021,0.84,3.7097292742969943
Shifted exponential time trend,shifted_exp_time,training_data,2064,4.693598528946041,2021,0.84,3.8535985289460415
Shifted exponential time trend,shifted_exp_time,training_data,2065,4.841735725424952,2021,0.84,4.001735725424952
Shifted exponential time trend,shifted_exp_time,training_data,2066,4.994267474019619,2021,0.84,4.154267474019619
Shifted exponential time trend,shifted_exp_time,training_data,2067,5.15132414096322,2021,0.84,4.311324140963221
Shifted exponential time trend,shifted_exp_time,training_data,2068,5.3130399598579645,2021,0.84,4.473039959857965
Shifted exponential time trend,shifted_exp_time,training_data,2069,5.479553146402206,2021,0.84,4.639553146402206
Shifted exponential time trend,shifted_exp_time,training_data,2070,5.651006016521017,2021,0.84,4.811006016521017
Shifted exponential time trend,shifted_exp_time,training_data,2071,5.827545108001129,2021,0.84,4.987545108001129
Shifted exponential time trend,shifted_exp_time,training_data,2072,6.009321305734213,2021,0.84,5.169321305734213
Shifted exponential time trend,shifted_exp_time,training_data,2073,6.196489970675601,2021,0.84,5.356489970675601
Shifted exponential time trend,shifted_exp_time,training_data,2074,6.389211072628577,2021,0.84,5.5492110726285775
Shifted exponential time trend,shifted_exp_time,training_data,2075,6.587649326967782,2021,0.84,5.747649326967782
Shifted exponential time trend,shifted_exp_time,training_data,2076,6.7919743354185895,2021,0.84,5.95197433541859
Shifted exponential time trend,shifted_exp_time,training_data,2077,7.002360731012757,2021,0.84,6.1623607310127575
Shifted exponential time trend,shifted_exp_time,training_data,2078,7.218988327344218,2021,0.84,6.378988327344218
Shifted exponential time trend,shifted_exp_time,training_data,2079,7.442042272252663,2021,0.84,6.602042272252663
Shifted exponential time trend,shifted_exp_time,training_data,2080,7.671713206066153,2021,0.84,6.831713206066153
Shifted exponential time trend,shifted_exp_time,training_data,2081,7.908197424538112,2021,0.84,7.068197424538112
Shifted exponential time trend,shifted_exp_time,training_data,2082,8.151697046617887,2021,0.84,7.311697046617887
Shifted exponential time trend,shifted_exp_time,training_data,2083,8.402420187198292,2021,0.84,7.562420187198292
Shifted exponential time trend,shifted_exp_time,training_data,2084,8.660581134987801,2021,0.84,7.820581134987801
Shifted exponential time trend,shifted_exp_time,training_data,2085,8.92640053565938,2021,0.84,8.08640053565938
Shifted exponential time trend,shifted_exp_time,training_data,2086,9.200105580432481,2021,0.84,8.360105580432482
Shifted exponential time trend,shifted_exp_time,training_data,2087,9.481930200249472,2021,0.84,8.641930200249472
Shifted exponential time trend,shifted_exp_time,training_data,2088,9.772115265712312,2021,0.84,8.932115265712312
Shifted exponential time trend,shifted_exp_time,training_data,2089,10.070908792950462,2021,0.84,9.230908792950462
Shifted exponential time trend,shifted_exp_time,training_data,2090,10.378566155595994,2021,0.84,9.538566155595994
Shifted exponential time trend,shifted_exp_time,training_data,2091,10.69535030304696,2021,0.84,9.85535030304696
Shifted exponential time trend,shifted_exp_time,training_data,2092,11.021531985205671,2021,0.84,10.181531985205671
Shifted exponential time trend,shifted_exp_time,training_data,2093,11.357389983883959,2021,0.84,10.517389983883959
Shifted exponential time trend,shifted_exp_time,training_data,2094,11.70321135107312,2021,0.84,10.86321135107312
Shifted exponential time trend,shifted_exp_time,training_data,2095,12.05929165428225,2021,0.84,11.21929165428225
Shifted exponential time trend,shifted_exp_time,training_data,2096,12.425935229154693,2021,0.84,11.585935229154693
Shifted exponential time trend,shifted_exp_time,training_data,2097,12.803455439578384,2021,0.84,11.963455439578384
Shifted exponential time trend,shifted_exp_time,training_data,2098,13.192174945512553,2021,0.84,12.352174945512553
Shifted exponential time trend,shifted_exp_time,training_data,2099,13.592425978759522,2021,0.84,12.752425978759522
Shifted exponential time trend,shifted_exp_time,training_data,2100,14.00455062691752,2021,0.84,13.16455062691752
Shifted exponential time trend,shifted_exp_time,training_data,2101,14.428901125756965,2021,0.84,13.588901125756966
Shifted exponential time trend,shifted_exp_time,training_data,2102,14.865840160270256,2021,0.84,14.025840160270256
Shifted exponential time trend,shifted_exp_time,training_data,2103,15.315741174652333,2021,0.84,14.475741174652333
Shifted exponential time trend,shifted_exp_time,training_data,2104,15.77898869147695,2021,0.84,14.93898869147695
Shifted exponential time trend,shifted_exp_time,training_data,2105,16.25597864034138,2021,0.84,15.415978640341379
Shifted exponential time trend,shifted_exp_time,training_data,2106,16.74711869626063,2021,0.84,15.907118696260632
Shifted exponential time trend,shifted_exp_time,training_data,2107,17.252828628100154,2021,0.84,16.412828628100154
Shifted exponential time trend,shifted_exp_time,training_data,2108,17.77354065734498,2021,0.84,16.93354065734498
Shifted exponential time trend,shifted_exp_time,training_data,2109,18.309699827511952,2021,0.84,17.469699827511953
